origin,asylum_residence,time,displaced_population
afg,dnk,2013,2348
afg,dnk,2014,2274
afg,dnk,2015,2383
afg,dnk,2016,3919
afg,dnk,2017,3437
afg,dnk,2018,3034
afg,dom,2014,4
afg,dom,2015,4
afg,dom,2016,4
afg,dom,2017,11
afg,dom,2018,5
afg,dza,2011,5
afg,dza,2012,2
afg,dza,2013,2
afg,dza,2014,2
afg,dza,2015,2
afg,dza,2016,2
afg,ecu,1993,2
afg,ecu,1994,7
afg,ecu,1995,8
afg,ecu,1996,16
afg,ecu,1997,16
afg,ecu,1998,16
afg,ecu,1999,51
afg,ecu,2000,70
afg,ecu,2001,28
afg,ecu,2002,29
afg,ecu,2003,32
afg,ecu,2004,30
afg,ecu,2005,29
afg,ecu,2006,32
afg,ecu,2007,99
afg,ecu,2008,108
afg,ecu,2009,129
afg,ecu,2010,138
afg,ecu,2011,119
afg,ecu,2012,116
afg,ecu,2013,115
afg,ecu,2014,112
afg,ecu,2015,112
afg,ecu,2017,157
afg,ecu,2018,150
afg,egy,1993,30
afg,egy,1994,30
afg,egy,1995,23
afg,egy,1996,28
afg,egy,1997,45
afg,egy,1998,56
afg,egy,1999,72
afg,egy,2000,81
afg,egy,2001,87
afg,egy,2002,49
afg,egy,2003,39
afg,egy,2004,35
afg,egy,2005,32
afg,egy,2006,31
afg,egy,2007,30
afg,egy,2008,28
afg,egy,2010,1
afg,egy,2011,3
afg,egy,2012,10
afg,egy,2013,30
afg,egy,2014,28
afg,egy,2015,36
afg,egy,2016,35
afg,egy,2017,39
afg,egy,2018,43
afg,esp,1991,21
afg,esp,1992,20
afg,esp,1993,74
afg,esp,1994,70
afg,esp,1995,69
afg,esp,1996,75
afg,esp,1997,80
afg,esp,1998,87
afg,esp,1999,93
afg,esp,2000,125
afg,esp,2001,145
afg,esp,2002,145
afg,esp,2003,94
afg,esp,2004,88
afg,esp,2005,87
afg,esp,2006,74
afg,esp,2007,69
afg,esp,2008,69
afg,esp,2009,70
afg,esp,2010,76
afg,esp,2011,62
afg,esp,2012,127
afg,esp,2013,192
afg,esp,2014,275
afg,esp,2015,309
afg,esp,2016,350
afg,esp,2017,435
afg,esp,2018,533
afg,est,2000,6
afg,est,2001,7
afg,est,2002,7
afg,est,2003,6
afg,est,2004,6
afg,est,2005,2
afg,est,2006,2
afg,est,2007,6
afg,est,2008,6
afg,est,2009,15
afg,est,2010,12
afg,est,2011,13
afg,est,2012,16
afg,est,2013,16
afg,est,2014,15
afg,est,2015,19
afg,est,2016,23
afg,est,2017,23
afg,est,2018,8
afg,eth,2000,3
afg,eth,2001,3
afg,eth,2002,3
afg,eth,2003,3
afg,eth,2004,4
afg,eth,2005,1
afg,eth,2006,2
afg,eth,2007,2
afg,eth,2008,1
afg,eth,2009,1
afg,eth,2010,1
afg,eth,2011,1
afg,eth,2012,1
afg,eth,2013,1
afg,eth,2014,1
afg,eth,2015,1
afg,eth,2016,1
afg,fin,1998,52
afg,fin,1999,118
afg,fin,2000,351
afg,fin,2001,661
afg,fin,2002,932
afg,fin,2003,1101
afg,fin,2004,1342
afg,fin,2005,1605
afg,fin,2006,1944
afg,fin,2007,567
afg,fin,2008,791
afg,fin,2009,1002
afg,fin,2010,1042
afg,fin,2011,1228
afg,fin,2012,1292
afg,fin,2013,1447
afg,fin,2014,1576
afg,fin,2015,4623
afg,fin,2016,3202
afg,fin,2017,2891
afg,fin,2018,3131
afg,fji,2009,3
afg,fji,2010,3
afg,fji,2011,3
afg,fji,2012,8
afg,fji,2013,7
afg,fji,2014,8
afg,fji,2015,8
afg,fji,2016,7
afg,fji,2017,11
afg,fji,2018,7
afg,fra,1995,1294
afg,fra,1996,1277
afg,fra,1997,1236
afg,fra,1998,1158
afg,fra,1999,1119
afg,fra,2000,1190
afg,fra,2001,1284
afg,fra,2002,1276
afg,fra,2003,1167
afg,fra,2004,1220
afg,fra,2005,1235
afg,fra,2006,1242
afg,fra,2007,1277
afg,fra,2008,1347
afg,fra,2009,1578
afg,fra,2010,1790
afg,fra,2011,2120
afg,fra,2012,3185
afg,fra,2013,3814
afg,fra,2014,4262
afg,fra,2015,6507
afg,fra,2016,11865
afg,fra,2017,17739
afg,fra,2018,26619
afg,gbr,1988,241
afg,gbr,1989,233
afg,gbr,1990,237
afg,gbr,1991,192
afg,gbr,1992,156
afg,gbr,1993,130
afg,gbr,1994,110
afg,gbr,1995,820
afg,gbr,1996,1260
afg,gbr,1997,1915
afg,gbr,1998,3450
afg,gbr,1999,4645
afg,gbr,2000,5675
afg,gbr,2001,15065
afg,gbr,2002,20305
afg,gbr,2003,21800
afg,gbr,2004,22513
afg,gbr,2005,22886
afg,gbr,2006,23592
afg,gbr,2007,23952
afg,gbr,2008,23426
afg,gbr,2009,23757
afg,gbr,2010,23406
afg,gbr,2011,15826
afg,gbr,2012,11107
afg,gbr,2013,10596
afg,gbr,2014,10948
afg,gbr,2015,11890
afg,gbr,2016,12545
afg,gbr,2017,12205
afg,gbr,2018,12277
afg,geo,1997,1
afg,geo,1998,1
afg,geo,1999,3
afg,geo,2000,3
afg,geo,2001,3
afg,geo,2002,5
afg,geo,2003,4
afg,geo,2004,4
afg,geo,2005,13
afg,geo,2006,4
afg,geo,2007,4
afg,geo,2008,4
afg,geo,2010,3
afg,geo,2012,4
afg,geo,2013,3
afg,geo,2014,13
afg,geo,2015,10
afg,geo,2016,12
afg,geo,2017,16
afg,geo,2018,37
afg,grc,1993,13
afg,grc,1994,13
afg,grc,1998,33
afg,grc,1999,57
afg,grc,2000,494
afg,grc,2001,1751
afg,grc,2002,512
afg,grc,2003,575
afg,grc,2004,690
afg,grc,2005,712
afg,grc,2006,738
afg,grc,2007,1274
afg,grc,2008,1756
afg,grc,2009,148
afg,grc,2010,4648
afg,grc,2011,208
afg,grc,2012,343
afg,grc,2013,4025
afg,grc,2014,2225
afg,grc,2015,5810
afg,grc,2016,15657
afg,grc,2017,11673
afg,grc,2018,22824
afg,gtm,2015,1
afg,hkg,1997,6
afg,hkg,1998,4
afg,hkg,2001,3
afg,hkg,2002,4
afg,hkg,2003,4
afg,hkg,2004,4
afg,hkg,2005,3
afg,hkg,2006,2
afg,hkg,2007,5
afg,hkg,2008,6
afg,hkg,2009,17
afg,hkg,2010,14
afg,hkg,2011,12
afg,hkg,2012,11
afg,hkg,2013,9
afg,hkg,2014,9
afg,hkg,2015,11
afg,hkg,2016,1
afg,hrv,2000,1
afg,hrv,2001,1
afg,hrv,2002,4
afg,hrv,2003,1
afg,hrv,2004,1
afg,hrv,2007,1
afg,hrv,2008,2
afg,hrv,2009,12
afg,hrv,2010,21
afg,hrv,2011,151
afg,hrv,2012,147
afg,hrv,2013,31
afg,hrv,2014,28
afg,hrv,2015,23
afg,hrv,2016,179
afg,hrv,2017,138
afg,hrv,2018,74
afg,hun,1993,15
afg,hun,1994,30
afg,hun,1999,601
afg,hun,2000,1142
afg,hun,2001,1686
afg,hun,2002,1571
afg,hun,2003,1792
afg,hun,2004,2502
afg,hun,2005,2385
afg,hun,2006,2361
afg,hun,2007,2315
afg,hun,2008,2164
afg,hun,2009,2105
afg,hun,2010,1821
afg,hun,2011,1697
afg,hun,2012,1131
afg,hun,2013,1446
afg,hun,2014,3442
afg,hun,2015,9411
afg,hun,2016,2400
afg,hun,2017,1653
afg,hun,2018,1620
afg,idn,1996,4
afg,idn,1998,3
afg,idn,1999,12
afg,idn,2000,144
afg,idn,2001,491
afg,idn,2002,195
afg,idn,2003,82
afg,idn,2004,115
afg,idn,2005,82
afg,idn,2006,80
afg,idn,2007,74
afg,idn,2008,189
afg,idn,2009,1638
afg,idn,2010,1470
afg,idn,2011,2125
afg,idn,2012,3888
afg,idn,2013,3934
afg,idn,2014,5856
afg,idn,2015,6681
afg,idn,2016,7176
afg,idn,2017,7561
afg,idn,2018,7733
afg,ind,1981,2690
afg,ind,1982,3970
afg,ind,1983,5730
afg,ind,1984,7070
afg,ind,1985,6840
afg,ind,1986,6700
afg,ind,1987,5180
afg,ind,1988,5551
afg,ind,1989,9371
afg,ind,1990,14146
afg,ind,1991,13036
afg,ind,1992,11335
afg,ind,1993,26274
afg,ind,1994,22362
afg,ind,1995,20449
afg,ind,1996,20373
afg,ind,1997,17456
afg,ind,1998,16103
afg,ind,1999,14535
afg,ind,2000,12813
afg,ind,2001,12124
afg,ind,2002,11630
afg,ind,2003,10563
afg,ind,2004,9932
afg,ind,2005,9809
afg,ind,2006,9687
afg,ind,2007,9726
afg,ind,2008,10111
afg,ind,2009,9882
afg,ind,2010,9382
afg,ind,2011,9878
afg,ind,2012,10309
afg,ind,2013,11494
afg,ind,2014,11908
afg,ind,2015,13026
afg,ind,2016,12067
afg,ind,2017,13501
afg,ind,2018,14848
afg,irl,1999,5
afg,irl,2000,30
afg,irl,2001,41
afg,irl,2002,41
afg,irl,2003,61
afg,irl,2004,153
afg,irl,2005,77
afg,irl,2006,211
afg,irl,2007,225
afg,irl,2008,249
afg,irl,2009,204
afg,irl,2010,338
afg,irl,2011,379
afg,irl,2012,391
afg,irl,2013,302
afg,irl,2014,287
afg,irl,2015,344
afg,irl,2016,338
afg,irl,2017,410
afg,irl,2018,437
afg,irn,1979,100000
afg,irn,1980,300000
afg,irn,1981,1500000
afg,irn,1982,1600000
afg,irn,1983,1800000
afg,irn,1984,1900000
afg,irn,1985,1900000
afg,irn,1986,2190000
afg,irn,1987,2350000
afg,irn,1988,2350000
afg,irn,1989,2350000
afg,irn,1990,3061110
afg,irn,1991,3186616
afg,irn,1992,3117266
afg,irn,1993,1850000
afg,irn,1994,1850000
afg,irn,1995,1623325
afg,irn,1996,1429196
afg,irn,1997,1413759
afg,irn,1998,1414722
afg,irn,1999,1486818
afg,irn,2000,1709794
afg,irn,2001,1500000
afg,irn,2002,1481156
afg,irn,2003,1104090
afg,irn,2004,1407373
afg,irn,2005,1209951
afg,irn,2006,1158434
afg,irn,2007,914500
afg,irn,2008,940826
afg,irn,2009,1030240
afg,irn,2010,1037703
afg,irn,2011,859723
afg,irn,2012,839135
afg,irn,2013,822299
afg,irn,2014,954545
afg,irn,2015,954056
afg,irn,2016,953447
afg,irn,2017,951142
afg,irn,2018,951142
afg,irq,2006,1
afg,irq,2009,3
afg,irq,2010,2
afg,irq,2011,2
afg,irq,2012,35
afg,irq,2013,128
afg,irq,2014,136
afg,irq,2015,142
afg,irq,2016,144
afg,irq,2017,118
afg,irq,2018,78
afg,isl,2000,3
afg,isl,2001,1
afg,isl,2003,1
afg,isl,2004,3
afg,isl,2005,2
afg,isl,2006,3
afg,isl,2007,2
afg,isl,2008,5
afg,isl,2009,5
afg,isl,2010,7
afg,isl,2011,9
afg,isl,2012,15
afg,isl,2013,21
afg,isl,2014,21
afg,isl,2015,33
afg,isl,2016,33
afg,isl,2017,50
afg,isl,2018,87
afg,ita,1980,191
afg,ita,1981,464
afg,ita,1982,484
afg,ita,1983,545
afg,ita,1984,551
afg,ita,1985,553
afg,ita,1986,553
afg,ita,1987,560
afg,ita,1988,554
afg,ita,1989,557
afg,ita,1990,394
afg,ita,1991,121
afg,ita,1992,107
afg,ita,1993,46
afg,ita,1994,48
afg,ita,1995,52
afg,ita,1996,52
afg,ita,1997,44
afg,ita,1998,43
afg,ita,1999,37
afg,ita,2000,66
afg,ita,2001,149
afg,ita,2002,183
afg,ita,2003,186
afg,ita,2004,242
afg,ita,2005,304
afg,ita,2006,473
afg,ita,2007,1139
afg,ita,2008,2317
afg,ita,2009,3039
afg,ita,2010,3969
afg,ita,2011,4291
afg,ita,2012,6220
afg,ita,2013,7681
afg,ita,2014,10769
afg,ita,2015,14893
afg,ita,2016,17959
afg,ita,2017,17493
afg,ita,2018,17766
afg,jor,1983,50
afg,jor,1984,150
afg,jor,1985,150
afg,jor,1994,1
afg,jor,1998,3
afg,jor,2000,8
afg,jor,2001,3
afg,jor,2002,6
afg,jor,2004,2
afg,jor,2008,1
afg,jor,2009,23
afg,jor,2010,52
afg,jor,2011,27
afg,jor,2012,24
afg,jor,2013,19
afg,jor,2014,19
afg,jor,2015,17
afg,jor,2016,17
afg,jor,2017,17
afg,jor,2018,18
afg,jpn,1997,1
afg,jpn,1998,2
afg,jpn,1999,12
afg,jpn,2000,74
afg,jpn,2001,129
afg,jpn,2002,111
afg,jpn,2003,87
afg,jpn,2004,90
afg,jpn,2005,90
afg,jpn,2006,59
afg,jpn,2007,66
afg,jpn,2008,67
afg,jpn,2009,59
afg,jpn,2010,55
afg,jpn,2011,44
afg,jpn,2012,36
afg,jpn,2013,36
afg,jpn,2014,48
afg,jpn,2015,54
afg,jpn,2016,49
afg,jpn,2017,51
afg,jpn,2018,55
afg,kaz,1993,2000
afg,kaz,1994,2000
afg,kaz,1995,3500
afg,kaz,1996,3500
afg,kaz,1997,1648
afg,kaz,1998,2081
afg,kaz,1999,2296
afg,kaz,2000,2460
afg,kaz,2001,2363
afg,kaz,2002,2267
afg,kaz,2003,676
afg,kaz,2004,689
afg,kaz,2005,782
afg,kaz,2006,620
afg,kaz,2007,408
afg,kaz,2008,549
afg,kaz,2009,449
afg,kaz,2010,615
afg,kaz,2011,598
afg,kaz,2012,567
afg,kaz,2013,570
afg,kaz,2014,614
afg,kaz,2015,698
afg,kaz,2016,686
afg,kaz,2017,725
afg,kaz,2018,702
afg,ken,2000,2
afg,ken,2001,2
afg,ken,2010,2
afg,ken,2011,2
afg,ken,2012,2
afg,ken,2013,5
afg,ken,2014,5
afg,ken,2015,3
afg,ken,2016,8
afg,ken,2017,8
afg,ken,2018,18
afg,kgz,1993,1200
afg,kgz,1994,1200
afg,kgz,1996,105
afg,kgz,1997,162
afg,kgz,1998,568
afg,kgz,1999,708
afg,kgz,2000,891
afg,kgz,2001,1020
afg,kgz,2002,1043
afg,kgz,2003,772
afg,kgz,2004,386
afg,kgz,2005,370
afg,kgz,2006,463
afg,kgz,2007,630
afg,kgz,2008,705
afg,kgz,2009,664
afg,kgz,2010,652
afg,kgz,2011,548
afg,kgz,2012,530
afg,kgz,2013,552
afg,kgz,2014,519
afg,kgz,2015,388
afg,kgz,2016,314
afg,kgz,2017,282
afg,kgz,2018,257
afg,khm,1994,7
afg,khm,1998,4
afg,khm,1999,5
afg,khm,2000,11
afg,khm,2001,18
afg,khm,2002,15
afg,khm,2003,15
afg,khm,2004,7
afg,khm,2005,2
afg,khm,2006,2
afg,khm,2007,2
afg,khm,2008,1
afg,kor,1996,2
afg,kor,1998,1
afg,kor,1999,1
afg,kor,2000,1
afg,kor,2001,3
afg,kor,2002,2
afg,kor,2003,3
afg,kor,2004,1
afg,kor,2005,2
afg,kor,2006,2
afg,kor,2007,3
afg,kor,2008,2
afg,kor,2009,11
afg,kor,2010,23
afg,kor,2011,74
afg,kor,2012,32
afg,kor,2013,28
afg,kor,2014,49
afg,kor,2015,52
afg,kor,2016,41
afg,kor,2017,44
afg,kor,2018,69
afg,kwt,1984,400
afg,kwt,1985,400
afg,kwt,1994,10
afg,kwt,1995,123
afg,kwt,1996,192
afg,kwt,1997,21
afg,kwt,1998,52
afg,kwt,1999,52
afg,kwt,2000,99
afg,kwt,2001,74
afg,kwt,2002,113
afg,kwt,2003,114
afg,kwt,2004,115
afg,kwt,2005,125
afg,kwt,2006,44
afg,kwt,2007,26
afg,kwt,2008,1796
afg,kwt,2009,1800
afg,kwt,2010,1794
afg,lbn,1986,100
afg,lbn,1988,50
afg,lbn,1989,50
afg,lbn,1990,300
afg,lbn,1991,100
afg,lbn,1992,90
afg,lbn,1993,550
afg,lbn,1994,550
afg,lbn,1995,550
afg,lbn,1996,550
afg,lbn,1997,550
afg,lbn,1998,550
afg,lbn,1999,550
afg,lbn,2000,63
afg,lbn,2001,50
afg,lbn,2002,47
afg,lbn,2003,49
afg,lbn,2004,31
afg,lbn,2005,13
afg,lbn,2006,8
afg,lbn,2007,15
afg,lbn,2008,14
afg,lbn,2009,14
afg,lbn,2010,15
afg,lbn,2011,19
afg,lbn,2012,28
afg,lbn,2013,35
afg,lbn,2014,38
afg,lbn,2015,34
afg,lbn,2016,29
afg,lbn,2017,29
afg,lbn,2018,24
afg,lby,2004,1
afg,lby,2005,1
afg,lby,2009,1
afg,lby,2013,1
afg,lby,2014,1
afg,lby,2015,1
afg,lby,2016,1
afg,lby,2017,11
afg,lby,2018,11
afg,lie,2015,7
afg,lie,2016,7
afg,lie,2017,4
afg,lka,1993,10
afg,lka,1994,6
afg,lka,1995,7
afg,lka,1996,2
afg,lka,1997,1
afg,lka,1998,9
afg,lka,1999,9
afg,lka,2000,2
afg,lka,2001,14
afg,lka,2002,14
afg,lka,2003,18
afg,lka,2004,15
afg,lka,2005,4
afg,lka,2006,4
afg,lka,2007,4
