asylum_residence,displacement_type,time,displaced_population
abw,asylum_seekers,2010,1.0
abw,asylum_seekers,2011,4.0
abw,asylum_seekers,2012,6.0
abw,asylum_seekers,2013,5.0
abw,asylum_seekers,2014,5.0
abw,asylum_seekers,2016,4.0
abw,asylum_seekers,2017,17.0
abw,asylum_seekers,2018,407.0
abw,others_of_concern,2018,15602.0
abw,refugees,2013,1.0
abw,refugees,2015,2.0
abw,refugees,2016,1.0
abw,stateless_persons,2013,1.0
afg,asylum_seekers,2000,3.0
afg,asylum_seekers,2002,18.0
afg,asylum_seekers,2003,70.0
afg,asylum_seekers,2004,29.0
afg,asylum_seekers,2005,14.0
afg,asylum_seekers,2006,5.0
afg,asylum_seekers,2007,4.0
afg,asylum_seekers,2008,10.0
afg,asylum_seekers,2009,12.0
afg,asylum_seekers,2010,30.0
afg,asylum_seekers,2011,53.0
afg,asylum_seekers,2012,51.0
afg,asylum_seekers,2013,66.0
afg,asylum_seekers,2014,60.0
afg,asylum_seekers,2015,82.0
afg,asylum_seekers,2016,128.0
afg,asylum_seekers,2017,216.0
afg,asylum_seekers,2018,282.0
afg,internally_displaced_persons,1993,15000.0
afg,internally_displaced_persons,1994,332200.0
afg,internally_displaced_persons,1995,159600.0
afg,internally_displaced_persons,1996,273840.0
afg,internally_displaced_persons,1997,296795.0
afg,internally_displaced_persons,1998,315800.0
afg,internally_displaced_persons,1999,258625.0
afg,internally_displaced_persons,2000,758625.0
afg,internally_displaced_persons,2001,1200000.0
afg,internally_displaced_persons,2002,665156.0
afg,internally_displaced_persons,2003,184269.0
afg,internally_displaced_persons,2004,159549.0
afg,internally_displaced_persons,2005,142505.0
afg,internally_displaced_persons,2006,129310.0
afg,internally_displaced_persons,2007,153718.0
afg,internally_displaced_persons,2008,230670.0
afg,internally_displaced_persons,2009,297129.0
afg,internally_displaced_persons,2010,351907.0
afg,internally_displaced_persons,2011,447547.0
afg,internally_displaced_persons,2012,486298.0
afg,internally_displaced_persons,2013,631286.0
afg,internally_displaced_persons,2014,805409.0
afg,internally_displaced_persons,2015,1174306.0
afg,internally_displaced_persons,2016,1797551.0
afg,internally_displaced_persons,2017,1837079.0
afg,internally_displaced_persons,2018,2106893.0
afg,others_of_concern,2010,838250.0
afg,others_of_concern,2011,951167.0
afg,others_of_concern,2012,879376.0
afg,others_of_concern,2013,275486.0
afg,others_of_concern,2014,201284.0
afg,others_of_concern,2015,150317.0
afg,others_of_concern,2016,114221.0
afg,others_of_concern,2017,448032.0
afg,others_of_concern,2018,489854.0
afg,refugees,1990,50.0
afg,refugees,1991,38.0
afg,refugees,1992,60025.0
afg,refugees,1993,32132.0
afg,refugees,1994,19131.0
afg,refugees,1995,19605.0
afg,refugees,1996,18775.0
afg,refugees,1997,5.0
afg,refugees,2001,6.0
afg,refugees,2002,3.0
afg,refugees,2003,22.0
afg,refugees,2004,30.0
afg,refugees,2005,32.0
afg,refugees,2006,35.0
afg,refugees,2007,42.0
afg,refugees,2008,37.0
afg,refugees,2009,37.0
afg,refugees,2010,6434.0
afg,refugees,2011,3009.0
afg,refugees,2012,16187.0
afg,refugees,2013,16863.0
afg,refugees,2014,300423.0
afg,refugees,2015,257554.0
afg,refugees,2016,59771.0
afg,refugees,2017,75927.0
afg,refugees,2018,72228.0
afg,returned_idps,1997,4000.0
afg,returned_idps,1998,10000.0
afg,returned_idps,2002,753344.0
afg,returned_idps,2003,82067.0
afg,returned_idps,2004,27391.0
afg,returned_idps,2005,17044.0
afg,returned_idps,2006,10443.0
afg,returned_idps,2007,8012.0
afg,returned_idps,2008,6453.0
afg,returned_idps,2009,7225.0
afg,returned_idps,2010,3366.0
afg,returned_idps,2011,75453.0
